formula	branch_directory	branch	rate_category	rate_multiplier	sites	valid_sites	branch_length	effective_branch_length	category_variance	modes	eigenvalues	weights	component_csv
dominant	branch_to_eukaryota	(Node1612*, Node77*)	c1	0.05756	678	678	1.50311	0.0865190116	0.7769996714209673	2	-0.8259860388	1	doc/satute-wiki/results/biological/enhanced_sliding_window_rerun_20260619_150104/components/dominant/rRNA_based_3D_tree/branch_to_eukaryota/rRNA_alignment.fasta_c1_0.01_(Node1612*,Node77*).satute.components.csv
eigenvalue_weighted	branch_to_eukaryota	(Node1612*, Node77*)	c1	0.05756	678	678	1.50311	0.0865190116	2.2941500647941577	0,1,2	-1.855205315,-1.420051589,-0.8259860388	0.9148025453,0.9499005689,1	doc/satute-wiki/results/biological/enhanced_sliding_window_rerun_20260619_150104/components/eigenvalue_weighted/rRNA_based_3D_tree/branch_to_eukaryota/rRNA_alignment.fasta_c1_0.01_(Node1612*,Node77*).satute.components.csv
dominant	branch_to_eukaryota	(Node1612*, Node77*)	c2	0.324	482	482	1.50311	0.48700764	0.5684966520428101	2	-0.8259860388	1	doc/satute-wiki/results/biological/enhanced_sliding_window_rerun_20260619_150104/components/dominant/rRNA_based_3D_tree/branch_to_eukaryota/rRNA_alignment.fasta_c2_0.01_(Node1612*,Node77*).satute.components.csv
eigenvalue_weighted	branch_to_eukaryota	(Node1612*, Node77*)	c2	0.324	482	482	1.50311	0.48700764	0.9674483230781175	0,1,2	-1.855205315,-1.420051589,-0.8259860388	0.6057804509,0.7487767069,1	doc/satute-wiki/results/biological/enhanced_sliding_window_rerun_20260619_150104/components/eigenvalue_weighted/rRNA_based_3D_tree/branch_to_eukaryota/rRNA_alignment.fasta_c2_0.01_(Node1612*,Node77*).satute.components.csv
dominant	branch_to_eukaryota	(Node1612*, Node77*)	c3	0.8919	444	444	1.50311	1.340623809	0.24999267728094773	2	-0.8259860388	1	doc/satute-wiki/results/biological/enhanced_sliding_window_rerun_20260619_150104/components/dominant/rRNA_based_3D_tree/branch_to_eukaryota/rRNA_alignment.fasta_c3_0.01_(Node1612*,Node77*).satute.components.csv
eigenvalue_weighted	branch_to_eukaryota	(Node1612*, Node77*)	c3	0.8919	444	444	1.50311	1.340623809	0.280118289015922	0,1,2	-1.855205315,-1.420051589,-0.8259860388	0.251629914,0.4509411569,1	doc/satute-wiki/results/biological/enhanced_sliding_window_rerun_20260619_150104/components/eigenvalue_weighted/rRNA_based_3D_tree/branch_to_eukaryota/rRNA_alignment.fasta_c3_0.01_(Node1612*,Node77*).satute.components.csv
dominant	branch_to_eukaryota	(Node1612*, Node77*)	c4	2.727	343	343	1.50311	4.0989809699999995	0.002043106401469896	2	-0.8259860388	1	doc/satute-wiki/results/biological/enhanced_sliding_window_rerun_20260619_150104/components/dominant/rRNA_based_3D_tree/branch_to_eukaryota/rRNA_alignment.fasta_c4_0.01_(Node1612*,Node77*).satute.components.csv
eigenvalue_weighted	branch_to_eukaryota	(Node1612*, Node77*)	c4	2.727	343	343	1.50311	4.0989809699999995	0.0020438828458006503	0,1,2	-1.855205315,-1.420051589,-0.8259860388	0.01471702596,0.0875921949,1	doc/satute-wiki/results/biological/enhanced_sliding_window_rerun_20260619_150104/components/eigenvalue_weighted/rRNA_based_3D_tree/branch_to_eukaryota/rRNA_alignment.fasta_c4_0.01_(Node1612*,Node77*).satute.components.csv
dominant	branch_to_yeast	(Eukaryota_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Saccharomycotina_Saccharomycetes_Saccharomycetales_Saccharomyces_cerevisiae_baker_s_yeast, Node1652*)	c1	0.05756	678	678	0.003884	0.00022356304	0.657575187616264	2	-0.8259860388	1	doc/satute-wiki/results/biological/enhanced_sliding_window_rerun_20260619_150104/components/dominant/rRNA_based_3D_tree/branch_to_yeast/rRNA_alignment.fasta_c1_0.01_(Eukaryota_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Saccharomycotina_Saccharomycetes_Saccharomycetales_Saccharomyces_cerevisiae_baker_s_yeast,Node1652*).satute.components.csv
eigenvalue_weighted	branch_to_yeast	(Eukaryota_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Saccharomycotina_Saccharomycetes_Saccharomycetales_Saccharomyces_cerevisiae_baker_s_yeast, Node1652*)	c1	0.05756	678	678	0.003884	0.00022356304	2.3475971722292814	0,1,2	-1.855205315,-1.420051589,-0.8259860388	0.9997699311,0.9998671977,1	doc/satute-wiki/results/biological/enhanced_sliding_window_rerun_20260619_150104/components/eigenvalue_weighted/rRNA_based_3D_tree/branch_to_yeast/rRNA_alignment.fasta_c1_0.01_(Eukaryota_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Saccharomycotina_Saccharomycetes_Saccharomycetales_Saccharomyces_cerevisiae_baker_s_yeast,Node1652*).satute.components.csv
