tree_case	nsites	branch_length	replicate	scenario	target_found	tested_length	satZ	satP	decision	decision_bonferroni	informative
five_external	100	0.1	1	true_tree_fixed_lengths	1	0.1	12.36848171	1.935343909e-35	informative	informative	1
five_external	100	0.1	1	true_topology_ml_lengths	1	0.0539096582	12.62757924	7.439264661e-37	informative	informative	1
five_external	100	0.1	1	ml_tree_unadjusted	1	0.0533396021	12.62741093	7.455190553e-37	informative	informative	1
five_external	100	0.1	1	ml_tree_bonferroni	1	0.0533396021	12.62741093	7.455190553e-37	informative	informative	1
five_external	100	0.1	2	true_tree_fixed_lengths	1	0.1	13.38660533	3.620781843e-41	informative	informative	1
five_external	100	0.1	2	true_topology_ml_lengths	1	0.03598062102	13.52738806	5.389286616e-42	informative	informative	1
five_external	100	0.1	2	ml_tree_unadjusted	1	0.0359723673	13.52751691	5.379851176e-42	informative	informative	1
five_external	100	0.1	2	ml_tree_bonferroni	1	0.0359723673	13.52751691	5.379851176e-42	informative	informative	1
five_external	100	1.0	1	true_tree_fixed_lengths	1	1	2.61963264	0.004401226674	informative	informative	1
five_external	100	1.0	1	true_topology_ml_lengths	1	1.112040249	2.892527169	0.001910780642	informative	informative	1
five_external	100	1.0	1	ml_tree_unadjusted	1	1.120411275	2.890847428	0.001921022972	informative	informative	1
five_external	100	1.0	1	ml_tree_bonferroni	1	1.120411275	2.890847428	0.001921022972	informative	informative	1
five_external	100	1.0	2	true_tree_fixed_lengths	1	1	2.999093845	0.001353919435	informative	informative	1
five_external	100	1.0	2	true_topology_ml_lengths	1	1.03824923	3.70530887	0.0001055666449	informative	informative	1
five_external	100	1.0	2	ml_tree_unadjusted	1	1.034202577	3.720761181	9.931160198e-05	informative	informative	1
five_external	100	1.0	2	ml_tree_bonferroni	1	1.034202577	3.720761181	9.931160198e-05	informative	informative	1
five_external	100	5.0	1	true_tree_fixed_lengths	1	5	0.7931511864	0.2138448717	saturated	saturated	0
five_external	100	5.0	1	true_topology_ml_lengths	1	1.81079999	1.34223722	0.0897595459	saturated	saturated	0
five_external	100	5.0	1	ml_tree_unadjusted	1	1.590197578	2.063380097	0.01953826472	informative	saturated	1
five_external	100	5.0	1	ml_tree_bonferroni	1	1.590197578	2.063380097	0.01953826472	informative	saturated	0
five_external	100	5.0	2	true_tree_fixed_lengths	1	5	-0.04298185675	0.5171420016	saturated	saturated	0
five_external	100	5.0	2	true_topology_ml_lengths	1	9.999998887	-0.1881806498	0.5746324796	saturated	saturated	0
five_external	100	5.0	2	ml_tree_unadjusted	1	2.198393058	0.9194773501	0.1789229737	saturated	saturated	0
five_external	100	5.0	2	ml_tree_bonferroni	1	2.198393058	0.9194773501	0.1789229737	saturated	saturated	0
five_external	1000	0.1	1	true_tree_fixed_lengths	1	0.1	38.00535685	0	informative	informative	1
five_external	1000	0.1	1	true_topology_ml_lengths	1	0.10583862	38.00152518	0	informative	informative	1
five_external	1000	0.1	1	ml_tree_unadjusted	1	0.1059839462	38.00159657	0	informative	informative	1
five_external	1000	0.1	1	ml_tree_bonferroni	1	0.1059839462	38.00159657	0	informative	informative	1
five_external	1000	0.1	2	true_tree_fixed_lengths	1	0.1	38.34736566	0	informative	informative	1
five_external	1000	0.1	2	true_topology_ml_lengths	1	0.1036873839	38.43755223	0	informative	informative	1
five_external	1000	0.1	2	ml_tree_unadjusted	1	0.1037039078	38.43754486	0	informative	informative	1
five_external	1000	0.1	2	ml_tree_bonferroni	1	0.1037039078	38.43754486	0	informative	informative	1
five_external	1000	1.0	1	true_tree_fixed_lengths	1	1	10.83071939	1.231066555e-27	informative	informative	1
five_external	1000	1.0	1	true_topology_ml_lengths	1	1.074282279	10.83735682	1.144958214e-27	informative	informative	1
five_external	1000	1.0	1	ml_tree_unadjusted	1	1.074967638	10.83662186	1.154190941e-27	informative	informative	1
five_external	1000	1.0	1	ml_tree_bonferroni	1	1.074967638	10.83662186	1.154190941e-27	informative	informative	1
five_external	1000	1.0	2	true_tree_fixed_lengths	1	1	10.00596294	7.174443214e-24	informative	informative	1
five_external	1000	1.0	2	true_topology_ml_lengths	1	1.115535829	10.03115829	5.560215854e-24	informative	informative	1
five_external	1000	1.0	2	ml_tree_unadjusted	1	1.115814815	10.03201967	5.511912546e-24	informative	informative	1
five_external	1000	1.0	2	ml_tree_bonferroni	1	1.115814815	10.03201967	5.511912546e-24	informative	informative	1
five_external	1000	5.0	1	true_tree_fixed_lengths	1	5	-0.2297958194	0.5908747833	saturated	saturated	0
five_external	1000	5.0	1	true_topology_ml_lengths	1	9.999998671	-0.307624595	0.6208159984	saturated	saturated	0
five_external	1000	5.0	1	ml_tree_unadjusted	1	2.840149599	1.240397248	0.1074142491	saturated	saturated	0
five_external	1000	5.0	1	ml_tree_bonferroni	1	2.840149599	1.240397248	0.1074142491	saturated	saturated	0
five_external	1000	5.0	2	true_tree_fixed_lengths	1	5	-0.5082724996	0.6943688734	saturated	saturated	0
five_external	1000	5.0	2	true_topology_ml_lengths	1	9.999998839	-0.5393558796	0.7051793409	saturated	saturated	0
five_external	1000	5.0	2	ml_tree_unadjusted	1	2.885613231	1.169006403	0.1212005258	saturated	saturated	0
five_external	1000	5.0	2	ml_tree_bonferroni	1	2.885613231	1.169006403	0.1212005258	saturated	saturated	0
sixteen_internal	100	0.1	1	true_tree_fixed_lengths	1	0.100001	11.25868708	1.04930978e-29	informative	informative	1
sixteen_internal	100	0.1	1	true_topology_ml_lengths	1	0.05827507093	11.5370567	4.290570728e-31	informative	informative	1
sixteen_internal	100	0.1	1	ml_tree_unadjusted	0						
sixteen_internal	100	0.1	1	ml_tree_bonferroni	0						
sixteen_internal	100	0.1	2	true_tree_fixed_lengths	1	0.100001	13.06852175	2.491217004e-39	informative	informative	1
sixteen_internal	100	0.1	2	true_topology_ml_lengths	1	0.04276944241	13.52853451	5.305903946e-42	informative	informative	1
sixteen_internal	100	0.1	2	ml_tree_unadjusted	1	0.04347189845	13.53026614	5.182386082e-42	informative	informative	1
sixteen_internal	100	0.1	2	ml_tree_bonferroni	1	0.04347189845	13.53026614	5.182386082e-42	informative	informative	1
sixteen_internal	100	1.0	1	true_tree_fixed_lengths	1	1.000001	0.9139271727	0.1803775572	saturated	saturated	0
sixteen_internal	100	1.0	1	true_topology_ml_lengths	1	1.955728341	0.9708439919	0.1658129861	saturated	saturated	0
sixteen_internal	100	1.0	1	ml_tree_unadjusted	1	1.449859755	2.318994475	0.01019766794	informative	saturated	1
sixteen_internal	100	1.0	1	ml_tree_bonferroni	1	1.449859755	2.318994475	0.01019766794	informative	saturated	0
sixteen_internal	100	1.0	2	true_tree_fixed_lengths	1	1.000001	2.943331043	0.001623505023	informative	saturated	1
sixteen_internal	100	1.0	2	true_topology_ml_lengths	1	1.119047721	3.356335036	0.0003949141199	informative	informative	1
sixteen_internal	100	1.0	2	ml_tree_unadjusted	1	1.069126409	3.709536699	0.0001038194299	informative	informative	1
sixteen_internal	100	1.0	2	ml_tree_bonferroni	1	1.069126409	3.709536699	0.0001038194299	informative	informative	1
sixteen_internal	100	5.0	1	true_tree_fixed_lengths	1	5.000001	1.840883122	0.03281934411	informative	saturated	1
sixteen_internal	100	5.0	1	true_topology_ml_lengths	1	1.51030117	2.081138651	0.01871060847	informative	saturated	1
sixteen_internal	100	5.0	1	ml_tree_unadjusted	1	1.506643225	2.301362382	0.01068557819	informative	saturated	1
sixteen_internal	100	5.0	1	ml_tree_bonferroni	1	1.506643225	2.301362382	0.01068557819	informative	saturated	0
sixteen_internal	100	5.0	2	true_tree_fixed_lengths	1	5.000001	0.4906696903	0.3118300436	saturated	saturated	0
