tree_case	nsites	branch_length	scenario	evaluated	informative	missing_split	fraction_informative
five_external	100	0.1	ml_tree_bonferroni	2	2	0	1.0
five_external	100	0.1	ml_tree_unadjusted	2	2	0	1.0
five_external	100	0.1	true_topology_ml_lengths	2	2	0	1.0
five_external	100	0.1	true_tree_fixed_lengths	2	2	0	1.0
five_external	100	1.0	ml_tree_bonferroni	2	2	0	1.0
five_external	100	1.0	ml_tree_unadjusted	2	2	0	1.0
five_external	100	1.0	true_topology_ml_lengths	2	2	0	1.0
five_external	100	1.0	true_tree_fixed_lengths	2	2	0	1.0
five_external	100	5.0	ml_tree_bonferroni	2	0	0	0.0
five_external	100	5.0	ml_tree_unadjusted	2	1	0	0.5
five_external	100	5.0	true_topology_ml_lengths	2	0	0	0.0
five_external	100	5.0	true_tree_fixed_lengths	2	0	0	0.0
five_external	1000	0.1	ml_tree_bonferroni	2	2	0	1.0
five_external	1000	0.1	ml_tree_unadjusted	2	2	0	1.0
five_external	1000	0.1	true_topology_ml_lengths	2	2	0	1.0
five_external	1000	0.1	true_tree_fixed_lengths	2	2	0	1.0
five_external	1000	1.0	ml_tree_bonferroni	2	2	0	1.0
five_external	1000	1.0	ml_tree_unadjusted	2	2	0	1.0
five_external	1000	1.0	true_topology_ml_lengths	2	2	0	1.0
five_external	1000	1.0	true_tree_fixed_lengths	2	2	0	1.0
five_external	1000	5.0	ml_tree_bonferroni	2	0	0	0.0
five_external	1000	5.0	ml_tree_unadjusted	2	0	0	0.0
five_external	1000	5.0	true_topology_ml_lengths	2	0	0	0.0
five_external	1000	5.0	true_tree_fixed_lengths	2	0	0	0.0
sixteen_internal	100	0.1	ml_tree_bonferroni	1	1	1	1.0
sixteen_internal	100	0.1	ml_tree_unadjusted	1	1	1	1.0
sixteen_internal	100	0.1	true_topology_ml_lengths	2	2	0	1.0
sixteen_internal	100	0.1	true_tree_fixed_lengths	2	2	0	1.0
sixteen_internal	100	1.0	ml_tree_bonferroni	2	1	0	0.5
sixteen_internal	100	1.0	ml_tree_unadjusted	2	2	0	1.0
sixteen_internal	100	1.0	true_topology_ml_lengths	2	1	0	0.5
sixteen_internal	100	1.0	true_tree_fixed_lengths	2	1	0	0.5
sixteen_internal	100	5.0	ml_tree_bonferroni	2	0	0	0.0
sixteen_internal	100	5.0	ml_tree_unadjusted	2	2	0	1.0
sixteen_internal	100	5.0	true_topology_ml_lengths	2	1	0	0.5
sixteen_internal	100	5.0	true_tree_fixed_lengths	2	1	0	0.5
sixteen_internal	1000	0.1	ml_tree_bonferroni	2	2	0	1.0
sixteen_internal	1000	0.1	ml_tree_unadjusted	2	2	0	1.0
sixteen_internal	1000	0.1	true_topology_ml_lengths	2	2	0	1.0
sixteen_internal	1000	0.1	true_tree_fixed_lengths	2	2	0	1.0
sixteen_internal	1000	1.0	ml_tree_bonferroni	2	2	0	1.0
sixteen_internal	1000	1.0	ml_tree_unadjusted	2	2	0	1.0
sixteen_internal	1000	1.0	true_topology_ml_lengths	2	2	0	1.0
sixteen_internal	1000	1.0	true_tree_fixed_lengths	2	2	0	1.0
sixteen_internal	1000	5.0	ml_tree_bonferroni	2	0	0	0.0
sixteen_internal	1000	5.0	ml_tree_unadjusted	2	1	0	0.5
sixteen_internal	1000	5.0	true_topology_ml_lengths	2	0	0	0.0
sixteen_internal	1000	5.0	true_tree_fixed_lengths	2	0	0	0.0
