dataset	formula	branch_id	z_alpha	windows	saturated_windows	saturated_fraction	min_z	median_z	max_z	csv
protein_based_2D_tree	original_satute	branch_to_eukaryota	2.326347874388028	2561	138	0.0538852010933229	0.2290074213908407	4.547521278662508	8.637586016970024	doc/satute-wiki/results/biological/independent_enhanced_sliding_window_20260619_151135/original_satute/protein_based_2D_tree/branch_to_eukaryota_sliding_window_size_36.csv
protein_based_2D_tree	original_satute	branch_to_yeast	2.326347874388028	2561	54	0.0210855134713002	0.2679747750125535	5.218019808045329	8.169657640705879	doc/satute-wiki/results/biological/independent_enhanced_sliding_window_20260619_151135/original_satute/protein_based_2D_tree/branch_to_yeast_sliding_window_size_36.csv
rRNA_based_3D_tree	original_satute	branch_to_eukaryota	2.326347874388028	1912	822	0.4299163179916318	-1.050448296278846	2.880588061527312	10.492521609126976	doc/satute-wiki/results/biological/independent_enhanced_sliding_window_20260619_151135/original_satute/rRNA_based_3D_tree/branch_to_eukaryota_sliding_window_size_36.csv
rRNA_based_3D_tree	original_satute	branch_to_yeast	2.326347874388028	1912	70	0.0366108786610878	0.5569273785056404	5.773423853074338	7.738335495382437	doc/satute-wiki/results/biological/independent_enhanced_sliding_window_20260619_151135/original_satute/rRNA_based_3D_tree/branch_to_yeast_sliding_window_size_36.csv
protein_based_2D_tree	dominant	branch_to_eukaryota	2.326347874388028	2561	138	0.05388520109332292	0.22900751325923913	4.547521344845981	8.637585875563799	doc/satute-wiki/results/biological/independent_enhanced_sliding_window_20260619_151135/sliding_window/dominant/protein_based_2D_tree/branch_to_eukaryota_sliding_window_size_36.csv
protein_based_2D_tree	dominant	branch_to_yeast	2.326347874388028	2561	34	0.013276064037485357	0.2998543676455486	5.838781017794983	9.141560155600178	doc/satute-wiki/results/biological/independent_enhanced_sliding_window_20260619_151135/sliding_window/dominant/protein_based_2D_tree/branch_to_yeast_sliding_window_size_36.csv
protein_based_2D_tree	eigenvalue_weighted	branch_to_eukaryota	2.326347874388028	2561	5	0.001952362358453729	1.5041172803879315	11.256250337939562	30.80991715495591	doc/satute-wiki/results/biological/independent_enhanced_sliding_window_20260619_151135/sliding_window/eigenvalue_weighted/protein_based_2D_tree/branch_to_eukaryota_sliding_window_size_36.csv
protein_based_2D_tree	eigenvalue_weighted	branch_to_yeast	2.326347874388028	2561	8	0.0031237797735259665	0.5609413087922851	22.86945169820481	34.59948911180695	doc/satute-wiki/results/biological/independent_enhanced_sliding_window_20260619_151135/sliding_window/eigenvalue_weighted/protein_based_2D_tree/branch_to_yeast_sliding_window_size_36.csv
rRNA_based_3D_tree	dominant	branch_to_eukaryota	2.326347874388028	1912	895	0.46809623430962344	-0.9070049682587591	2.6217808366275577	8.270562711951676	doc/satute-wiki/results/biological/independent_enhanced_sliding_window_20260619_151135/sliding_window/dominant/rRNA_based_3D_tree/branch_to_eukaryota_sliding_window_size_36.csv
rRNA_based_3D_tree	dominant	branch_to_yeast	2.326347874388028	1912	83	0.043410041841004186	0.48378679985324646	5.1727491511507395	8.17426435788896	doc/satute-wiki/results/biological/independent_enhanced_sliding_window_20260619_151135/sliding_window/dominant/rRNA_based_3D_tree/branch_to_yeast_sliding_window_size_36.csv
rRNA_based_3D_tree	eigenvalue_weighted	branch_to_eukaryota	2.326347874388028	1912	699	0.3655857740585774	-0.873405126615431	4.250773145589509	12.41744119376221	doc/satute-wiki/results/biological/independent_enhanced_sliding_window_20260619_151135/sliding_window/eigenvalue_weighted/rRNA_based_3D_tree/branch_to_eukaryota_sliding_window_size_36.csv
rRNA_based_3D_tree	eigenvalue_weighted	branch_to_yeast	2.326347874388028	1912	29	0.015167364016736401	1.2884940327990784	8.164411682814801	11.768996317967561	doc/satute-wiki/results/biological/independent_enhanced_sliding_window_20260619_151135/sliding_window/eigenvalue_weighted/rRNA_based_3D_tree/branch_to_yeast_sliding_window_size_36.csv
