dataset	formula	branch_id	branch_label	branch_length	target_taxa	rate_category	rate_multiplier	sites	valid_sites	effective_branch_length	category_variance	modes	eigenvalues	weights	component_csv
protein_based_2D_tree	dominant	branch_to_eukaryota	Eukaryota clade	0.6364407341	169	c1	0.1663	533	533	0.10584009408083	0.703615785391843	18	-0.2671807365	1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/protein_based_2D_tree/components/dominant/branch_to_eukaryota/protein_alignment.fasta_c1.independent_enhanced.components.csv
protein_based_2D_tree	eigenvalue_weighted	branch_to_eukaryota	Eukaryota clade	0.6364407341	169	c1	0.1663	533	533	0.10584009408083	20.890749159401928	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18	-2.116160663,-1.799114937,-1.653425903,-1.458731384,-1.433519376,-1.337075705,-1.251744533,-1.168395567,-1.06337824,-1.004843662,-0.9856562164,-0.9168245731,-0.7539151713,-0.6082540267,-0.5461727624,-0.4876784145,-0.4327654412,-0.405532054,-0.2671807365	0.8222619923,0.8503221001,0.8635354582,0.881514496,0.8838699069,0.8929383084,0.9010393714,0.9090232001,0.9191833937,0.9248956918,0.9267758794,0.9335522319,0.9497884358,0.9645445778,0.9709031655,0.9769327182,0.9826271776,0.9854635726,1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/protein_based_2D_tree/components/eigenvalue_weighted/branch_to_eukaryota/protein_alignment.fasta_c1.independent_enhanced.components.csv
protein_based_2D_tree	dominant	branch_to_eukaryota	Eukaryota clade	0.6364407341	169	c2	0.5182	717	717	0.32980358841062	0.7583303467469792	18	-0.2671807365	1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/protein_based_2D_tree/components/dominant/branch_to_eukaryota/protein_alignment.fasta_c2.independent_enhanced.components.csv
protein_based_2D_tree	eigenvalue_weighted	branch_to_eukaryota	Eukaryota clade	0.6364407341	169	c2	0.5182	717	717	0.32980358841062	9.491738754878572	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18	-2.116160663,-1.799114937,-1.653425903,-1.458731384,-1.433519376,-1.337075705,-1.251744533,-1.168395567,-1.06337824,-1.004843662,-0.9856562164,-0.9168245731,-0.7539151713,-0.6082540267,-0.5461727624,-0.4876784145,-0.4327654412,-0.405532054,-0.2671807365	0.5434594335,0.6033623222,0.6330609142,0.6750438149,0.6806802124,0.7026789342,0.722734985,0.7428776746,0.7690580738,0.7840489064,0.7890261689,0.8071426436,0.8516950292,0.8936087897,0.9120936833,0.9298602942,0.9468539422,0.9553965769,1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/protein_based_2D_tree/components/eigenvalue_weighted/branch_to_eukaryota/protein_alignment.fasta_c2.independent_enhanced.components.csv
protein_based_2D_tree	dominant	branch_to_eukaryota	Eukaryota clade	0.6364407341	169	c3	1.0213	820	820	0.6499969217363301	0.7097182585258415	18	-0.2671807365	1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/protein_based_2D_tree/components/dominant/branch_to_eukaryota/protein_alignment.fasta_c3.independent_enhanced.components.csv
protein_based_2D_tree	eigenvalue_weighted	branch_to_eukaryota	Eukaryota clade	0.6364407341	169	c3	1.0213	820	820	0.6499969217363301	5.473848851237221	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18	-2.116160663,-1.799114937,-1.653425903,-1.458731384,-1.433519376,-1.337075705,-1.251744533,-1.168395567,-1.06337824,-1.004843662,-0.9856562164,-0.9168245731,-0.7539151713,-0.6082540267,-0.5461727624,-0.4876784145,-0.4327654412,-0.405532054,-0.2671807365	0.3006431516,0.3694453268,0.4061409179,0.4609322302,0.468548095,0.4988606724,0.5273117037,0.5566676668,0.5959932567,0.6191060903,0.6268757961,0.6555593135,0.7287854596,0.801158408,0.8341483973,0.8664743155,0.8979601857,0.9139970542,1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/protein_based_2D_tree/components/eigenvalue_weighted/branch_to_eukaryota/protein_alignment.fasta_c3.independent_enhanced.components.csv
protein_based_2D_tree	dominant	branch_to_eukaryota	Eukaryota clade	0.6364407341	169	c4	2.2942	526	526	1.46012233217222	0.4744635772413452	18	-0.2671807365	1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/protein_based_2D_tree/components/dominant/branch_to_eukaryota/protein_alignment.fasta_c4.independent_enhanced.components.csv
protein_based_2D_tree	eigenvalue_weighted	branch_to_eukaryota	Eukaryota clade	0.6364407341	169	c4	2.2942	526	526	1.46012233217222	2.222623487887256	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18	-2.116160663,-1.799114937,-1.653425903,-1.458731384,-1.433519376,-1.337075705,-1.251744533,-1.168395567,-1.06337824,-1.004843662,-0.9856562164,-0.9168245731,-0.7539151713,-0.6082540267,-0.5461727624,-0.4876784145,-0.4327654412,-0.405532054,-0.2671807365	0.06722319805,0.1067985063,0.1321143391,0.1755538035,0.1821368241,0.2096789902,0.2375009663,0.2682371236,0.3126891367,0.3405892369,0.350266112,0.3872985355,0.4913041867,0.6077396306,0.6654029464,0.7247318288,0.7852336791,0.817086881,1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/protein_based_2D_tree/components/eigenvalue_weighted/branch_to_eukaryota/protein_alignment.fasta_c4.independent_enhanced.components.csv
protein_based_2D_tree	dominant	branch_to_yeast	Saccharomyces cerevisiae leaf	0.0504491957	1	c1	0.1663	533	533	0.00838970124491	0.688834512812377	18	-0.2671807365	1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/protein_based_2D_tree/components/dominant/branch_to_yeast/protein_alignment.fasta_c1.independent_enhanced.components.csv
protein_based_2D_tree	eigenvalue_weighted	branch_to_yeast	Saccharomyces cerevisiae leaf	0.0504491957	1	c1	0.1663	533	533	0.00838970124491	23.420038056227412	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18	-2.116160663,-1.799114937,-1.653425903,-1.458731384,-1.433519376,-1.337075705,-1.251744533,-1.168395567,-1.06337824,-1.004843662,-0.9856562164,-0.9168245731,-0.7539151713,-0.6082540267,-0.5461727624,-0.4876784145,-0.4327654412,-0.405532054,-0.2671807365	0.9846073082,0.98722977,0.9884371863,0.9900530475,0.9902624869,0.9910640658,0.9917738256,0.9924675887,0.9933424015,0.9938303394,0.9939903361,0.9945645083,0.9959247699,0.9971425872,0.9976620775,0.9981518004,0.9986117583,0.9988399472,1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/protein_based_2D_tree/components/eigenvalue_weighted/branch_to_yeast/protein_alignment.fasta_c1.independent_enhanced.components.csv
protein_based_2D_tree	dominant	branch_to_yeast	Saccharomyces cerevisiae leaf	0.0504491957	1	c2	0.5182	717	717	0.026142773211739998	0.8088723348760032	18	-0.2671807365	1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/protein_based_2D_tree/components/dominant/branch_to_yeast/protein_alignment.fasta_c2.independent_enhanced.components.csv
