model	branch_length	rate_mass	mean_rate	probability_mass_null	probability_mass_alternative	refined_shift	likelihood_identity_max_error	refined_exact_null_mean	legacy_exact_null_mean
+I+G4	0.5	1.0	0.99999999997	0.9999999999999998	1.0	-0.01892729783446713	2.4424906541753444e-15	1.3877787807814457e-17	0.2164127073999684
+I+G4	1.0	1.0	0.99999999997	0.9999999999999998	1.0	-0.03785459566893426	1.9984014443252818e-15	1.5265566588595902e-16	0.18312830248088274
+I+G4	2.0	1.0	0.99999999997	0.9999999999999998	0.9999999999999999	-0.07570919133786852	3.3775066077268434e-15	-2.7755575615628914e-17	0.14904029851025008
+I+G4	3.0	1.0	0.99999999997	0.9999999999999998	1.0	-0.11356378700680278	4.285417506966205e-15	-2.7755575615628914e-17	0.1303916919928526
+I+G4	4.0	1.0	0.99999999997	0.9999999999999998	0.9999999999999999	-0.15141838267573704	5.792783787372802e-15	-9.020562075079397e-17	0.11821492174274892
+I+G4	5.0	1.0	0.99999999997	0.9999999999999998	1.0	-0.18927297834467133	6.729209203748532e-15	0.0	0.10943747723899344
+I+G4	7.5	1.0	0.99999999997	0.9999999999999998	1.0	-0.28390946751700696	1.0370719040475596e-14	-2.0816681711721685e-17	0.0949954256221776
+I+G4	10.0	1.0	0.99999999997	0.9999999999999998	1.0	-0.37854595668934266	1.3139500338460453e-14	5.551115123125783e-17	0.08576558436003837
+I+G4	12.5	1.0	0.99999999997	0.9999999999999998	0.9999999999999999	-0.4731824458616783	1.6273115667486682e-14	3.469446951953614e-17	0.07896550272271172
+I+G4	15.0	1.0	0.99999999997	0.9999999999999998	1.0	-0.5678189350340139	1.9728024145933623e-14	1.3877787807814457e-17	0.07351638501030797
+I+G4	17.5	1.0	0.99999999997	0.9999999999999998	1.0	-0.6624554242063495	2.2643274381157694e-14	-2.7755575615628914e-17	0.0689446741752236
+I+G4	20.0	1.0	0.99999999997	0.9999999999999998	1.0	-0.7570919133786853	2.57061285777703e-14	-5.551115123125783e-17	0.06501619582167972
+I+G4	22.5	1.0	0.99999999997	0.9999999999999998	0.9999999999999998	-0.8517284025510209	2.8972653540616095e-14	4.85722573273506e-17	0.06159836756313441
+I+G4	25.0	1.0	0.99999999997	0.9999999999999998	0.9999999999999999	-0.9463648917233566	3.207886396566686e-14	4.163336342344337e-17	0.05860524730403575
+I+G4	30.0	1.0	0.99999999997	0.9999999999999998	1.0	-1.1356378700680279	3.832990020080076e-14	4.163336342344337e-17	0.05365735506125582
