model	branch_length	nsites	sample	rule	replicates	refined_fraction	legacy_fraction	refined_minus_legacy	paired_bootstrap_ci_low	paired_bootstrap_ci_high	refined_only	legacy_only	agreement	mean_delta_z	mean_delta_z_ci_low	mean_delta_z_ci_high	median_delta_z	delta_z_q10	delta_z_q90	mean_delta_decision_margin	mean_delta_decision_margin_ci_low	mean_delta_decision_margin_ci_high	median_delta_decision_margin
+I+G4	0.5	100	null_heldout	nominal	10000	0.0478	0.5093	-0.46149999999999997	-0.47110250000000004	-0.4518	0	4615	0.5385	-1.689638998164569	-1.6917271645913978	-1.6875508317377401	-1.6854071736705911	-1.8268450474841293	-1.5584258416466978	-1.689638998164569	-1.6917271645913978	-1.6875508317377401	-1.6854071736705911
+I+G4	0.5	100	alternative	nominal	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-0.9538820238487918	-0.9566905374017219	-0.9510735102958617	-0.9778368860231357	-1.1891779696091376	-0.6897721919439446	-0.9538820238487915	-0.9566905374017216	-0.9510735102958614	-0.9778368860231359
+I+G4	0.5	100	null_heldout	calibrated	10000	0.0576	0.0572	0.0003999999999999976	-0.0012	0.0019	34	30	0.9936	-1.689638998164569	-1.6917271645913978	-1.6875508317377401	-1.6854071736705911	-1.8268450474841293	-1.5584258416466978	-0.11803121576768859	-0.12011938219451747	-0.11594304934085971	-0.11379939127371053
+I+G4	0.5	100	alternative	calibrated	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-0.9538820238487918	-0.9566905374017219	-0.9510735102958617	-0.9778368860231357	-1.1891779696091376	-0.6897721919439446	0.6177257585480884	0.6149172449951583	0.6205342721010185	0.5937708963737447
+I+G4	0.5	500	null_heldout	nominal	10000	0.0491	0.9882	-0.9390999999999999	-0.9435	-0.9343	0	9391	0.0609	-3.7854786741949735	-3.7875353603845747	-3.7834219880053723	-3.783434043822039	-3.920214686874112	-3.652623996122114	-3.7854786741949735	-3.7875353603845747	-3.7834219880053723	-3.7834340438220386
+I+G4	0.5	500	alternative	nominal	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-2.1814942280174603	-2.184103981830253	-2.1788844742046676	-2.191651510903535	-2.416818259255737	-1.9361363239872595	-2.1814942280174603	-2.184103981830253	-2.1788844742046676	-2.1916515109035357
+I+G4	0.5	500	null_heldout	calibrated	10000	0.0504	0.0488	0.0015999999999999973	0.0002	0.003	34	18	0.9948	-3.7854786741949735	-3.7875353603845747	-3.7834219880053723	-3.783434043822039	-3.920214686874112	-3.652623996122114	-0.12908387560025064	-0.13114056178985165	-0.12702718941064964	-0.1270392452273157
+I+G4	0.5	500	alternative	calibrated	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-2.1814942280174603	-2.184103981830253	-2.1788844742046676	-2.191651510903535	-2.416818259255737	-1.9361363239872595	1.4749005705772642	1.4722908167644713	1.4775103243900571	1.4647432876911894
+I+G4	0.5	1000	null_heldout	nominal	10000	0.0486	1.0	-0.9514	-0.9556	-0.947	0	9514	0.0486	-5.352113566051569	-5.354158262309099	-5.35006886979404	-5.350651809256772	-5.48571998655884	-5.219048831831395	-5.352113566051569	-5.354158262309099	-5.35006886979404	-5.350651809256771
+I+G4	0.5	1000	alternative	nominal	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-3.0916987204288073	-3.0943102207320567	-3.089087220125558	-3.0973938770186553	-3.3273362634345705	-2.844764391282058	-3.0916987204288073	-3.0943102207320567	-3.089087220125558	-3.097393877018656
