tree_case	simulation_model	evaluation_model	fitted_evaluation_model	nsites	branch_length	replicate	seed	simulator	branch_length_source	target_split	scenario	formula	target_found	left_taxa	right_taxa	valid_sites	skipped_sites	branch_length_used	alpha	alpha_used	satC	satVar	satSE	satZ	satP	decision	modes	eigenvalues	weights	iqtree_satZ	iqtree_satP	iqtree_decision	iqtree_bonf_decision
five_external	JC	JC	JC	100	0.1	1	901101	alisim	fixed_0.1_smoke	B	true_tree_fixed_lengths	dominant	1	4	1	100	0	0.100001	0.05	0.05	1.4309178318345852	1.7658099896708501	0.1328837834226152	10.768190030259632	2.4323519203901754e-27	informative	0,1,2	-1.333333333,-1.333333333,-1.333333333	1,1,1	10.76819003	2.43235192e-27	informative	informative
five_external	JC	JC	JC	100	0.1	1	901101	alisim	fixed_0.1_smoke	B	true_tree_fixed_lengths	eigenvalue_weighted	1	4	1	100	0	0.100001	0.05	0.05	1.4309178318345852	1.7658099896708501	0.1328837834226152	10.768190030259632	2.4323519203901754e-27	informative	0,1,2	-1.333333333,-1.333333333,-1.333333333	1,1,1	10.76819003	2.43235192e-27	informative	informative
five_external	JC	JC	JC	100	0.1	1	901101	alisim	fixed_0.1_smoke	B	true_topology_ml_lengths	dominant	1	4	1	100	0	0.1433638684	0.05	0.05	1.4433136435316738	1.7325741654418791	0.13162728309290134	10.96515562440802	2.8101889484187657e-28	informative	0,1,2	-1.333333333,-1.333333333,-1.333333333	1,1,1	10.96515562	2.810188948e-28	informative	informative
five_external	JC	JC	JC	100	0.1	1	901101	alisim	fixed_0.1_smoke	B	true_topology_ml_lengths	eigenvalue_weighted	1	4	1	100	0	0.1433638684	0.05	0.05	1.4433136435316738	1.7325741654418791	0.13162728309290134	10.96515562440802	2.8101889484187657e-28	informative	0,1,2	-1.333333333,-1.333333333,-1.333333333	1,1,1	10.96515562	2.810188948e-28	informative	informative
five_external	JC	JC	JC	100	0.1	1	901101	alisim	fixed_0.1_smoke	B	ml_tree_unadjusted	dominant	1	4	1	100	0	0.1436973784	0.05	0.05	1.44350651709798	1.733108735498728	0.13164758772946536	10.964929490879644	2.817222807912415e-28	informative	0,1,2	-1.333333333,-1.333333333,-1.333333333	1,1,1	10.96492949	2.817222808e-28	informative	informative
five_external	JC	JC	JC	100	0.1	1	901101	alisim	fixed_0.1_smoke	B	ml_tree_unadjusted	eigenvalue_weighted	1	4	1	100	0	0.1436973784	0.05	0.05	1.44350651709798	1.733108735498728	0.13164758772946536	10.964929490879644	2.817222807912415e-28	informative	0,1,2	-1.333333333,-1.333333333,-1.333333333	1,1,1	10.96492949	2.817222808e-28	informative	informative
five_external	JC	JC	JC	100	0.1	1	901101	alisim	fixed_0.1_smoke	B	ml_tree_bonferroni	dominant	1	4	1	100	0	0.1436973784	0.05	0.0125	1.44350651709798	1.733108735498728	0.13164758772946536	10.964929490879644	2.817222807912415e-28	informative	0,1,2	-1.333333333,-1.333333333,-1.333333333	1,1,1	10.96492949	2.817222808e-28	informative	informative
five_external	JC	JC	JC	100	0.1	1	901101	alisim	fixed_0.1_smoke	B	ml_tree_bonferroni	eigenvalue_weighted	1	4	1	100	0	0.1436973784	0.05	0.0125	1.44350651709798	1.733108735498728	0.13164758772946536	10.964929490879644	2.817222807912415e-28	informative	0,1,2	-1.333333333,-1.333333333,-1.333333333	1,1,1	10.96492949	2.817222808e-28	informative	informative
sixteen_internal	JC	JC	JC	100	0.1	1	901101	alisim	fixed_0.1_smoke	A1,A2,A3,A4,A5,A6,A7,A8	true_tree_fixed_lengths	dominant	1	8	8	100	0	0.100001	0.05	0.05	1.729554309665764	1.9685690473864055	0.14030570363981662	12.3270420574331	3.2390673865972814e-35	informative	0,1,2	-1.333333333,-1.333333333,-1.333333333	1,1,1	12.32704206	3.239067387e-35	informative	informative
sixteen_internal	JC	JC	JC	100	0.1	1	901101	alisim	fixed_0.1_smoke	A1,A2,A3,A4,A5,A6,A7,A8	true_tree_fixed_lengths	eigenvalue_weighted	1	8	8	100	0	0.100001	0.05	0.05	1.729554309665764	1.9685690473864055	0.14030570363981662	12.3270420574331	3.2390673865972814e-35	informative	0,1,2	-1.333333333,-1.333333333,-1.333333333	1,1,1	12.32704206	3.239067387e-35	informative	informative
