ALI_ID	TIME_STAMP	BRANCH_INDEX	BRANCH_TYPE	BL	SPLIT_SIZE
Faircloth_2013-dna_13680_orylat2_chr14_31599989_31600168	"2022-08-13 22:07:57"	1	e	0.0917072655	1
Faircloth_2013-dna_13680_orylat2_chr14_31599989_31600168	"2022-08-13 22:07:57"	2	e	0.0337053271	1
Faircloth_2013-dna_13680_orylat2_chr14_31599989_31600168	"2022-08-13 22:07:57"	3	e	0.0000023738	1
Faircloth_2013-dna_13680_orylat2_chr14_31599989_31600168	"2022-08-13 22:07:57"	4	e	0.0934100013	1
Faircloth_2013-dna_13680_orylat2_chr14_31599989_31600168	"2022-08-13 22:07:57"	5	e	0.0079029118	1
Faircloth_2013-dna_13680_orylat2_chr14_31599989_31600168	"2022-08-13 22:07:57"	6	e	0.0000010000	1
Faircloth_2013-dna_13680_orylat2_chr14_31599989_31600168	"2022-08-13 22:07:57"	7	e	0.0383922363	1
Faircloth_2013-dna_13680_orylat2_chr14_31599989_31600168	"2022-08-13 22:07:57"	8	e	0.0678056462	1
Faircloth_2013-dna_13680_orylat2_chr14_31599989_31600168	"2022-08-13 22:07:57"	9	e	0.0000010000	1
Faircloth_2013-dna_13680_orylat2_chr14_31599989_31600168	"2022-08-13 22:07:57"	10	e	0.0000010000	1
Faircloth_2013-dna_13680_orylat2_chr14_31599989_31600168	"2022-08-13 22:07:57"	11	e	0.0624911412	1
Faircloth_2013-dna_13680_orylat2_chr14_31599989_31600168	"2022-08-13 22:07:57"	12	e	0.0596789772	1
Faircloth_2013-dna_13680_orylat2_chr14_31599989_31600168	"2022-08-13 22:07:57"	13	e	0.0000010000	1
Faircloth_2013-dna_13680_orylat2_chr14_31599989_31600168	"2022-08-13 22:07:57"	14	e	0.0075604284	1
Faircloth_2013-dna_13680_orylat2_chr14_31599989_31600168	"2022-08-13 22:07:57"	15	e	0.0237815786	1
Faircloth_2013-dna_13680_orylat2_chr14_31599989_31600168	"2022-08-13 22:07:57"	16	e	0.0000010000	1
Faircloth_2013-dna_13680_orylat2_chr14_31599989_31600168	"2022-08-13 22:07:57"	17	i	0.0301552031	2
Faircloth_2013-dna_13680_orylat2_chr14_31599989_31600168	"2022-08-13 22:07:57"	18	i	0.0055251897	3
Faircloth_2013-dna_13680_orylat2_chr14_31599989_31600168	"2022-08-13 22:07:57"	19	i	0.0772579132	4
Faircloth_2013-dna_13680_orylat2_chr14_31599989_31600168	"2022-08-13 22:07:57"	20	i	0.0476870639	5
Faircloth_2013-dna_13680_orylat2_chr14_31599989_31600168	"2022-08-13 22:07:57"	21	i	0.0787223035	6
Faircloth_2013-dna_13680_orylat2_chr14_31599989_31600168	"2022-08-13 22:07:57"	22	i	0.0160950954	7
